Country,Date,Latitude,Longitude,Estimated Population,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Burma,2020-01-22,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-01-23,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-01-24,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-01-25,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-01-26,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-01-27,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-01-28,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-01-29,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-01-30,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-01-31,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-01,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-02,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-03,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-04,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-05,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-06,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-07,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-08,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-09,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-10,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-11,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-12,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-13,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-14,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-15,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-16,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-17,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-18,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-19,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-20,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Burma,2020-02-21,21.92,95.96,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
