Country,Date,Latitude,Longitude,Estimated Population,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
MS Zaandam,2020-01-22,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-01-23,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-01-24,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-01-25,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-01-26,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-01-27,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-01-28,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-01-29,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-01-30,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-01-31,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-01,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-02,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-03,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-04,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-05,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-06,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-07,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-08,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-09,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-10,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-11,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-12,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-13,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-14,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-15,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-16,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-17,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-18,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-19,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-20,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-21,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-22,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-23,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-24,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-25,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-26,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-27,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-28,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-02-29,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-01,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-02,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-03,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-04,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-05,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-06,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-07,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-08,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-09,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-10,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-11,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-12,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-13,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-14,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-15,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-16,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-17,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-18,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-19,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-20,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-21,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-22,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-23,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-24,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-25,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-26,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-27,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.034,,,,,,,
MS Zaandam,2020-03-28,0.0,0.0,,,,2,0,0,0,2,,,,,,,,,,,,,,,0.0,0.034,,,,,,,
MS Zaandam,2020-03-29,0.0,0.0,,,,2,0,0,0,2,,,,,,,,,,,,,,,0.0,0.034,,,,,,,
MS Zaandam,2020-03-30,0.0,0.0,,,,2,0,0,0,2,,,,,,,,,,,,,,,0.0,0.034,,,,,,,
MS Zaandam,2020-03-31,0.0,0.0,,,,2,0,0,0,2,,,,,,,,,,,,,,,0.0,0.034,,,,,,,
MS Zaandam,2020-04-01,0.0,0.0,,,,9,0,2,2,7,2.16,,,,,,,,,,,,,1.0,0.222,0.034,,,,,,,
MS Zaandam,2020-04-02,0.0,0.0,,,,9,0,2,2,7,2.16,,,,,,,,,,,,,1.0,0.222,0.034,,,,,,,
MS Zaandam,2020-04-03,0.0,0.0,,,,9,0,2,2,7,2.16,,,,,,,,,,,,,1.0,0.222,0.034,,,,,,,
MS Zaandam,2020-04-04,0.0,0.0,,,,9,0,2,2,7,2.16,,,,,-2.1573,,,,,,,,1.0,0.222,0.034,,,,,,,
MS Zaandam,2020-04-05,0.0,0.0,,,,9,0,2,2,7,0.0,,0.0,,,-0.0,,,,,,,,1.0,0.222,0.034,,,,,,,
MS Zaandam,2020-04-06,0.0,0.0,,,,9,0,2,2,7,0.0,,0.0,,,-0.0,,,,,,,,1.0,0.222,0.034,,,,,,,
MS Zaandam,2020-04-07,0.0,0.0,,,,9,0,2,2,7,0.0,,0.0,,,-0.0,,,,,,,,1.0,0.222,0.034,,,,,,,
