Country,Date,Latitude,Longitude,Estimated Population,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Kazakhstan,2020-01-22,48.02,66.92,18693685,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0234,0.0,0.0,0.0,0.0,0.0,,
Kazakhstan,2020-01-23,48.02,66.92,18693685,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0234,0.0,0.0,0.0,0.0,0.0,,
Kazakhstan,2020-01-24,48.02,66.92,18693685,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0234,0.0,0.0,0.0,0.0,0.0,,
Kazakhstan,2020-01-25,48.02,66.92,18693685,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0234,0.0,0.0,0.0,0.0,0.0,,
Kazakhstan,2020-01-26,48.02,66.92,18693685,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0234,0.0,0.0,0.0,0.0,0.0,,
Kazakhstan,2020-01-27,48.02,66.92,18693685,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0234,0.0,0.0,0.0,0.0,0.0,,
Kazakhstan,2020-01-28,48.02,66.92,18693685,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0234,0.0,0.0,0.0,0.0,0.0,,
Kazakhstan,2020-01-29,48.02,66.92,18693685,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0234,0.0,0.0,0.0,0.0,0.0,,
Kazakhstan,2020-01-30,48.02,66.92,18693685,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0234,0.0,0.0,0.0,0.0,0.0,,
Kazakhstan,2020-01-31,48.02,66.92,18693685,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0234,0.0,0.0,0.0,0.0,0.0,,
Kazakhstan,2020-02-01,48.02,66.92,18693685,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0234,0.0,0.0,0.0,0.0,0.0,,
Kazakhstan,2020-02-02,48.02,66.92,18693685,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0234,0.0,0.0,0.0,0.0,0.0,,
Kazakhstan,2020-02-03,48.02,66.92,18693685,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0234,0.0,0.0,0.0,0.0,0.0,,
Kazakhstan,2020-02-04,48.02,66.92,18693685,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0234,0.0,0.0,0.0,0.0,0.0,,
Kazakhstan,2020-02-05,48.02,66.92,18693685,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0234,0.0,0.0,0.0,0.0,0.0,,
Kazakhstan,2020-02-06,48.02,66.92,18693685,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0234,0.0,0.0,0.0,0.0,0.0,,
