Country,Date,Latitude,Longitude,Estimated Population,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Panama,2020-01-22,8.54,-80.7821,4328485,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.181,0.0,0.0,0.0,0.0,0.0,,
Panama,2020-01-23,8.54,-80.7821,4328485,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.181,0.0,0.0,0.0,0.0,0.0,,
Panama,2020-01-24,8.54,-80.7821,4328485,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.181,0.0,0.0,0.0,0.0,0.0,,
Panama,2020-01-25,8.54,-80.7821,4328485,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.181,0.0,0.0,0.0,0.0,0.0,,
Panama,2020-01-26,8.54,-80.7821,4328485,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.181,0.0,0.0,0.0,0.0,0.0,,
Panama,2020-01-27,8.54,-80.7821,4328485,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.181,0.0,0.0,0.0,0.0,0.0,,
Panama,2020-01-28,8.54,-80.7821,4328485,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.181,0.0,0.0,0.0,0.0,0.0,,
Panama,2020-01-29,8.54,-80.7821,4328485,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.181,0.0,0.0,0.0,0.0,0.0,,
Panama,2020-01-30,8.54,-80.7821,4328485,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.181,0.0,0.0,0.0,0.0,0.0,,
Panama,2020-01-31,8.54,-80.7821,4328485,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.181,0.0,0.0,0.0,0.0,0.0,,
Panama,2020-02-01,8.54,-80.7821,4328485,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.181,0.0,0.0,0.0,0.0,0.0,,
Panama,2020-02-02,8.54,-80.7821,4328485,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.181,0.0,0.0,0.0,0.0,0.0,,
