Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est
United Kingdom,Anguilla,18.22,-63.0686,2020-04-19,3,1,0,1,2,,,,,,,,,,,,,,0.0,0.0,0.034
United Kingdom,Bermuda,32.31,-64.7505,2020-04-19,86,35,5,40,46,,,,,,,,,,,,,,0.125,0.0581,0.034
United Kingdom,British Virgin Islands,18.42,-64.64,2020-04-19,4,2,1,3,1,,,,,,,,,,,,,,0.333,0.25,0.034
United Kingdom,Cayman Islands,19.31,-81.2546,2020-04-19,61,7,1,8,53,,,,,,,,,,,,,,0.125,0.0164,0.034
United Kingdom,Channel Islands,49.37,-2.3644,2020-04-19,488,73,21,94,394,,,,,,,,,,,,,,0.223,0.043,0.034
United Kingdom,Falkland Islands (Malvinas),-51.7963,-59.5236,2020-04-19,11,3,0,3,8,,,,,,,,,,,,,,0.0,0.0,0.034
United Kingdom,Gibraltar,36.14,-5.3536,2020-04-19,132,120,0,120,12,,,,,,,,,,,,,,0.0,0.0,0.034
United Kingdom,Isle Of Man,54.24,-4.5481,2020-04-19,298,193,6,199,99,,,,,,,,,,,,,,0.0302,0.0201,0.034
United Kingdom,Montserrat,16.74,-62.1874,2020-04-19,11,2,0,2,9,,,,,,,,,,,,,,0.0,0.0,0.034
United Kingdom,Turks And Caicos Islands,21.69,-71.7979,2020-04-19,11,0,1,1,10,,,,,,,,,,,,,,1.0,0.0909,0.034
United Kingdom,,55.38,-3.436,2020-04-19,120067,0,18492,18492,101575,,,,,,,,,,,,,,1.0,0.154,0.034
