Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est
United Kingdom,Anguilla,18.22,-63.0686,2020-03-24,0,0,0,0,0,,,,,,,,,,,,,,,,0.034
United Kingdom,Bermuda,32.31,-64.7505,2020-03-24,6,0,0,0,6,,,,,,,,,,,,,,,0.0,0.034
United Kingdom,British Virgin Islands,18.42,-64.64,2020-03-24,0,0,0,0,0,,,,,,,,,,,,,,,,0.034
United Kingdom,Cayman Islands,19.31,-81.2546,2020-03-24,6,0,1,1,5,,,,,,,,,,,,,,1.0,0.167,0.034
United Kingdom,Channel Islands,49.37,-2.3644,2020-03-24,36,0,0,0,36,,,,,,,,,,,,,,,0.0,0.034
United Kingdom,Falkland Islands (Malvinas),-51.7963,-59.5236,2020-03-24,0,0,0,0,0,,,,,,,,,,,,,,,,0.034
United Kingdom,Gibraltar,36.14,-5.3536,2020-03-24,15,5,0,5,10,,,,,,,,,,,,,,0.0,0.0,0.034
United Kingdom,Isle Of Man,54.24,-4.5481,2020-03-24,23,0,0,0,23,,,,,,,,,,,,,,,0.0,0.034
United Kingdom,Montserrat,16.74,-62.1874,2020-03-24,1,0,0,0,1,,,,,,,,,,,,,,,0.0,0.034
United Kingdom,Turks And Caicos Islands,21.69,-71.7979,2020-03-24,0,0,0,0,0,,,,,,,,,,,,,,,,0.034
United Kingdom,,55.38,-3.436,2020-03-24,8077,135,508,643,7434,,,,,,,,,,,,,,0.79,0.0629,0.034
