Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff3 Recovered,Diff3 Deaths,Diff3 Closed,Diff3 Active,μ_closed,μ_confirmed,μ_closed_est
United Kingdom,Anguilla,18.22,-63.0686,2020-04-23,3,1,0,1,2,,,,,,,,,,,,,,,,0.0,0.0,0.034
United Kingdom,Bermuda,32.31,-64.7505,2020-04-23,99,39,5,44,55,,,,,,,,,,,,,,,,0.114,0.0505,0.034
United Kingdom,British Virgin Islands,18.42,-64.64,2020-04-23,5,3,1,4,1,,,,,,,,,,,,,,,,0.25,0.2,0.034
United Kingdom,Cayman Islands,19.31,-81.2546,2020-04-23,66,7,1,8,58,,,,,,,,,,,,,,,,0.125,0.0152,0.034
United Kingdom,Channel Islands,49.37,-2.3644,2020-04-23,521,295,29,324,197,,,,,,,,,,,,,,,,0.0895,0.0557,0.034
United Kingdom,Falkland Islands (Malvinas),-51.7963,-59.5236,2020-04-23,12,11,0,11,1,,,,,,,,,,,,,,,,0.0,0.0,0.034
United Kingdom,Gibraltar,36.14,-5.3536,2020-04-23,133,129,0,129,4,,,,,,,,,,,,,,,,0.0,0.0,0.034
United Kingdom,Isle Of Man,54.24,-4.5481,2020-04-23,307,221,16,237,70,,,,,,,,,,,,,,,,0.0675,0.0521,0.034
United Kingdom,Montserrat,16.74,-62.1874,2020-04-23,11,2,0,2,9,,,,,,,,,,,,,,,,0.0,0.0,0.034
United Kingdom,Turks And Caicos Islands,21.69,-71.7979,2020-04-23,11,4,1,5,6,,,,,,,,,,,,,,,,0.2,0.0909,0.034
United Kingdom,,55.38,-3.436,2020-04-23,138078,0,21787,21787,116291,,,,,,,,,,,,,,,,1.0,0.158,0.034
