Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est
France,French Guiana,3.93,-53.1258,2020-04-19,96,64,0,64,32,,,,,,,,,,,,,,0.0,0.0,0.034
France,French Polynesia,-17.6797,149.41,2020-04-19,55,2,0,2,53,,,,,,,,,,,,,,0.0,0.0,0.034
France,Guadeloupe,16.25,-61.5833,2020-04-19,148,73,8,81,67,,,,,,,,,,,,,,0.0988,0.0541,0.034
France,Martinique,14.64,-61.0242,2020-04-19,163,73,12,85,78,,,,,,,,,,,,,,0.141,0.0736,0.034
France,Mayotte,-12.8275,45.17,2020-04-19,271,117,4,121,150,,,,,,,,,,,,,,0.0331,0.0148,0.034
France,New Caledonia,-20.9043,165.62,2020-04-19,18,15,0,15,3,,,,,,,,,,,,,,0.0,0.0,0.034
France,Reunion,-21.1351,55.25,2020-04-19,408,237,0,237,171,,,,,,,,,,,,,,0.0,0.0,0.034
France,Saint Barthelemy,17.9,-62.8333,2020-04-19,6,5,0,5,1,,,,,,,,,,,,,,0.0,0.0,0.034
France,Saint Pierre And Miquelon,46.89,-56.3159,2020-04-19,1,0,0,0,1,,,,,,,,,,,,,,,0.0,0.034
France,St Martin,18.07,-63.0501,2020-04-19,37,19,2,21,16,,,,,,,,,,,,,,0.0952,0.0541,0.034
France,,46.23,2.21,2020-04-19,151808,35973,19694,55667,96141,,,,,,,,,,,,,,0.354,0.13,0.034
