Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est
France,French Guiana,3.93,-53.1258,2020-05-04,133,100,1,101,32,,,,,,,,,,,,,,0.0099,0.0075,0.333
France,French Polynesia,-17.6797,149.41,2020-05-04,58,53,0,53,5,,,,,,,,,,,,,,0.0,0.0,0.333
France,Guadeloupe,16.25,-61.5833,2020-05-04,152,98,12,110,42,,,,,,,,,,,,,,0.109,0.0789,0.333
France,Martinique,14.64,-61.0242,2020-05-04,181,83,14,97,84,,,,,,,,,,,,,,0.144,0.0773,0.333
France,Mayotte,-12.8275,45.17,2020-05-04,686,352,6,358,328,,,,,,,,,,,,,,0.0168,0.0087,0.333
France,New Caledonia,-20.9043,165.62,2020-05-04,18,17,0,17,1,,,,,,,,,,,,,,0.0,0.0,0.333
France,Reunion,-21.1351,55.25,2020-05-04,424,300,0,300,124,,,,,,,,,,,,,,0.0,0.0,0.333
France,Saint Barthelemy,17.9,-62.8333,2020-05-04,6,6,0,6,0,,,,,,,,,,,,,,0.0,0.0,0.333
France,Saint Pierre And Miquelon,46.89,-56.3159,2020-05-04,1,0,0,0,1,,,,,,,,,,,,,,,0.0,0.333
France,St Martin,18.07,-63.0501,2020-05-04,38,29,3,32,6,,,,,,,,,,,,,,0.0938,0.0789,0.333
France,,46.23,2.21,2020-05-04,167886,50438,25168,75606,92280,,,,,,,,,,,,,,0.333,0.15,0.333
